title,n_enrolled,course_type,institution,instructors,Level,subject,language,course_length_weeks,  price  ,Average_Course_effort_per_week
Statistical Inference and Modeling for High-throughput Experiments,51590,Self-paced on your time,Harvard University,Rafael Irizarry-Michael Love,Intermediate,Data Analysis & Statistics,English,4,  £149.00  ,3
Star Trek: Inspiring Culture and Technology,6521,Self-paced on your time,The Smithsonian Institution,Margaret Weitekamp-Scott Mantz,Introductory,History,English,7,  £40.00  ,2
Sprint Planning for Faster Agile Team Delivery,10654,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",John Johnson,Advanced,Engineering,English,4,  £199.00  ,2.5
"Soy docente, ¬°qu√© miedo! Gestiona eficazmente tus emociones",0,Self-paced on your time,Universidad Aut√≥noma de Madrid,Claudia Messina Albarenque-Tamara Ambrona Benito-Gema de Pablo Gonz√°lez,Introductory,Education & Teacher Training,English,4,  £49.00  ,3.5
Sorting Truth From Fiction: Civic Online Reasoning,0,Instructor-led on a course schedule,Massachusetts Institute of Technology,Justin Reich-Sam Wineburg,Introductory,Education & Teacher Training,English,4,  £49.00  ,3
Solid Waste Management,7668,Self-paced on your time,World Bank Group,OLC and SURR ,Introductory,Environmental Studies,English,6,  £5.00  ,2.5
Solar Energy: Photovoltaic (PV) Energy Conversion,38041,Instructor-led on a course schedule,Delft University of Technology,Arno Smets-Miro Zeman-Ren√© van Swaaij,Advanced,Engineering,English,12,  £250.00  ,10.5
Solar Energy: Integration of Photovoltaic Systems in Microgrids,20068,Instructor-led on a course schedule,Delft University of Technology,Seyedmahdi Izadkhast-Laura Ramirez-Pavol Bauer,Advanced,Engineering,English,9,  £250.00  ,10.5
Solar Energy Engineering: Comprehensive Exams,0,Self-paced on your time,Delft University of Technology,Arno Smets-Miro Zeman-Ren√© van Swaaij-Olindo Isabella,Advanced,Engineering,English,8,  £250.00  ,5
Solar Energy,125069,Self-paced on your time,Delft University of Technology,Arno Smets,Introductory,Engineering,English,8,  £50.00  ,7
Software Engineering: Introduction,35524,Self-paced on your time,University of British Columbia,Reid Holmes,Advanced,Computer Science,English,6,  £125.00  ,9
Software Development Fundamentals,51402,Self-paced on your time,University of Pennsylvania,Arvind Bhusnurmath,Intermediate,Computer Science,English,4,  £149.00  ,7
Software Construction: Object-Oriented Design,23100,Self-paced on your time,University of British Columbia,Gail Murphy-Elisa Baniassad,Intermediate,Computer Science,English,6,  £125.00  ,9
Social Work Practice: Advocating Social Justice and Change,19603,Self-paced on your time,The University of Michigan,Mary Ruffolo-Barbara Hiltz-Katie Richards-Schuster,Introductory,Social Sciences,English,5,  £49.00  ,2.5
"Social Work Practice with Individuals, Families, and Small Groups",16134,Self-paced on your time,The University of Michigan,Mary Ruffolo,Advanced,Social Sciences,English,8,  £199.00  ,9
"Social Work Practice in Community Organization, Management and Policy/Evaluation",9522,Self-paced on your time,The University of Michigan,Barbara Hiltz,Advanced,Social Sciences,English,8,  £199.00  ,9
Social Media: How Media Got Social,13616,Self-paced on your time,Curtin University,Tama Leaver-Gwyneth Peaty,Introductory,Communication,English,4,  £139.00  ,2.5
Smithsonian‚Äôs Objects That Define America,9071,Self-paced on your time,The Smithsonian Institution,Richard Kurin,Introductory,Humanities,English,5,  £50.00  ,1.5
Six Sigma: Define and Measure,92411,Self-paced on your time,Technische Universit√§t M√ºnchen,Martin Grunow-Holly Ott,Introductory,Business & Management,English,8,  £99.00  ,3.5
"Six Sigma: Analyze, Improve, Control",56016,Self-paced on your time,Technische Universit√§t M√ºnchen,Martin Grunow-Holly Ott,Introductory,Business & Management,English,8,  £99.00  ,3.5
Site Planning Online,12948,Self-paced on your time,Massachusetts Institute of Technology,Gary Hack-Mary Anne Ocampo,Intermediate,Design,English,10,  £99.00  ,5
Sikhism Through Its Scriptures,44125,Self-paced on your time,Harvard University,Harpreet Singh-Ravinder Singh-Damanpreet Singh,Introductory,Humanities,English,4,  £99.00  ,7.5
Sign Language Science: Factors Contributing to Nature Structure,0,Self-paced on your time,Georgetown University,Ted Supalla,Introductory,Language,English,4,  £99.00  ,4
Sign Language Science: Factors Contributing to Natural Learning,0,Self-paced on your time,Georgetown University,Ted Supalla,Introductory,Language,English,4,  £99.00  ,4
Sign Language Science: Factors Contributing to Natural Change,0,Self-paced on your time,Georgetown University,Ted Supalla,Introductory,Language,English,4,  £99.00  ,4
Sign Language Science: Emergence and Evolution of Sign Language,8313,Self-paced on your time,Georgetown University,Ted Supalla,Introductory,Language,English,4,  £99.00  ,4
Shaping Work of the Future,22246,Self-paced on your time,Massachusetts Institute of Technology,Thomas Kochan-Barbara Dyer-Elisabeth Reynolds-Inez von Weitershauen,Introductory,Business & Management,English,8,  £49.00  ,4.5
